,name,type,value,date
0,西藏自治区,中国,37,1993
1,青海省,中国,109,1993
2,宁夏回族自治区,中国,104,1993
3,海南省,中国,260,1993
4,甘肃省,中国,372,1993
5,新疆维吾尔自治区,中国,495,1993
6,贵州省,中国,417,1993
7,吉林省,中国,718,1993
8,黑龙江省,中国,1198,1993
9,山西省,中国,680,1993
10,内蒙古自治区,中国,537,1993
11,云南省,中国,783,1993
12,天津市,中国,538,1993
13,广西壮族自治区,中国,871,1993
14,重庆市,中国,608,1993
15,江西省,中国,723,1993
16,陕西省,中国,678,1993
17,辽宁省,中国,2010,1993
18,安徽省,中国,1037,1993
19,北京市,中国,886,1993
20,上海市,中国,1519,1993
21,福建省,中国,1114,1993
22,河北省,中国,1690,1993
23,湖南省,中国,1244,1993
24,湖北省,中国,1325,1993
25,四川省,中国,1486,1993
26,河南省,中国,1660,1993
27,浙江省,中国,1925,1993
28,山东省,中国,2770,1993
29,江苏省,中国,2998,1993
30,广东省,中国,3469,1993
31,西藏自治区,中国,45,1994
32,青海省,中国,138,1994
33,宁夏回族自治区,中国,136,1994
34,海南省,中国,331,1994
35,甘肃省,中国,453,1994
36,新疆维吾尔自治区,中国,662,1994
37,贵州省,中国,524,1994
38,吉林省,中国,937,1994
39,黑龙江省,中国,1604,1994
40,山西省,中国,826,1994
41,内蒙古自治区,中国,695,1994
42,云南省,中国,983,1994
43,天津市,中国,732,1994
44,广西壮族自治区,中国,1198,1994
45,重庆市,中国,833,1994
46,江西省,中国,948,1994
47,陕西省,中国,839,1994
48,辽宁省,中国,2461,1994
49,安徽省,中国,1320,1994
50,北京市,中国,1145,1994
51,上海市,中国,1990,1994
52,福建省,中国,1644,1994
53,河北省,中国,2187,1994
54,湖南省,中国,1650,1994
55,湖北省,中国,1700,1994
56,四川省,中国,2001,1994
57,河南省,中国,2216,1994
58,浙江省,中国,2689,1994
59,山东省,中国,3844,1994
60,江苏省,中国,4057,1994
61,广东省,中国,4619,1994
62,西藏自治区,中国,56,1995
63,青海省,中国,167,1995
64,宁夏回族自治区,中国,175,1995
65,海南省,中国,363,1995
66,甘肃省,中国,557,1995
67,新疆维吾尔自治区,中国,814,1995
68,贵州省,中国,636,1995
69,吉林省,中国,1137,1995
70,黑龙江省,中国,1991,1995
71,山西省,中国,1076,1995
72,内蒙古自治区,中国,857,1995
73,云南省,中国,1222,1995
74,天津市,中国,931,1995
75,广西壮族自治区,中国,1497,1995
76,重庆市,中国,1123,1995
77,江西省,中国,1169,1995
78,陕西省,中国,1036,1995
79,辽宁省,中国,2793,1995
80,安徽省,中国,1810,1995
81,北京市,中国,1507,1995
82,上海市,中国,2499,1995
83,福建省,中国,2094,1995
84,河北省,中国,2849,1995
85,湖南省,中国,2132,1995
86,湖北省,中国,2109,1995
87,四川省,中国,2443,1995
88,河南省,中国,2988,1995
89,浙江省,中国,3557,1995
90,山东省,中国,4953,1995
91,江苏省,中国,5155,1995
92,广东省,中国,5933,1995
93,西藏自治区,中国,64,1996
94,青海省,中国,184,1996
95,宁夏回族自治区,中国,202,1996
96,海南省,中国,389,1996
97,甘肃省,中国,722,1996
98,新疆维吾尔自治区,中国,900,1996
99,贵州省,中国,723,1996
100,吉林省,中国,1346,1996
101,黑龙江省,中国,2370,1996
102,山西省,中国,1292,1996
103,内蒙古自治区,中国,1023,1996
104,云南省,中国,1517,1996
105,天津市,中国,1121,1996
106,广西壮族自治区,中国,1697,1996
107,重庆市,中国,1315,1996
108,江西省,中国,1409,1996
109,陕西省,中国,1215,1996
110,辽宁省,中国,3157,1996
111,安徽省,中国,2093,1996
112,北京市,中国,1789,1996
113,上海市,中国,2957,1996
114,福建省,中国,2484,1996
115,河北省,中国,3452,1996
116,湖南省,中国,2540,1996
117,湖北省,中国,2499,1996
118,四川省,中国,2871,1996
119,河南省,中国,3634,1996
120,浙江省,中国,4188,1996
121,山东省,中国,5883,1996
122,江苏省,中国,6004,1996
123,广东省,中国,6834,1996
124,西藏自治区,中国,77,1997
125,青海省,中国,202,1997
126,宁夏回族自治区,中国,224,1997
127,海南省,中国,411,1997
128,甘肃省,中国,793,1997
129,新疆维吾尔自治区,中国,1039,1997
130,贵州省,中国,805,1997
131,吉林省,中国,1464,1997
132,黑龙江省,中国,2667,1997
133,山西省,中国,1476,1997
134,内蒙古自治区,中国,1153,1997
135,云南省,中国,1676,1997
136,天津市,中国,1264,1997
137,广西壮族自治区,中国,1817,1997
138,重庆市,中国,1509,1997
139,江西省,中国,1605,1997
140,陕西省,中国,1363,1997
141,辽宁省,中国,3582,1997
142,安徽省,中国,2347,1997
143,北京市,中国,2077,1997
144,上海市,中国,3438,1997
145,福建省,中国,2870,1997
146,河北省,中国,3953,1997
147,湖南省,中国,2849,1997
148,湖北省,中国,2856,1997
149,四川省,中国,3241,1997
150,河南省,中国,4041,1997
151,浙江省,中国,4686,1997
152,山东省,中国,6537,1997
153,江苏省,中国,6680,1997
154,广东省,中国,7774,1997
155,西藏自治区,中国,91,1998
156,青海省,中国,220,1998
157,宁夏回族自治区,中国,245,1998
158,海南省,中国,442,1998
159,甘肃省,中国,887,1998
160,新疆维吾尔自治区,中国,1106,1998
161,贵州省,中国,858,1998
162,吉林省,中国,1577,1998
163,黑龙江省,中国,2774,1998
164,山西省,中国,1611,1998
165,内蒙古自治区,中国,1262,1998
166,云南省,中国,1831,1998
167,天津市,中国,1374,1998
168,广西壮族自治区,中国,1911,1998
169,重庆市,中国,1602,1998
170,江西省,中国,1719,1998
171,陕西省,中国,1458,1998
172,辽宁省,中国,3881,1998
173,安徽省,中国,2542,1998
174,北京市,中国,2377,1998
175,上海市,中国,3801,1998
176,福建省,中国,3159,1998
177,河北省,中国,4256,1998
178,湖南省,中国,3025,1998
179,湖北省,中国,3114,1998
180,四川省,中国,3474,1998
181,河南省,中国,4308,1998
182,浙江省,中国,5052,1998
183,山东省,中国,7021,1998
184,江苏省,中国,7199,1998
185,广东省,中国,8530,1998
186,西藏自治区,中国,105,1999
187,青海省,中国,239,1999
188,宁夏回族自治区,中国,264,1999
189,海南省,中国,476,1999
190,甘肃省,中国,956,1999
191,新疆维吾尔自治区,中国,1163,1999
192,贵州省,中国,937,1999
193,吉林省,中国,1672,1999
194,黑龙江省,中国,2866,1999
195,山西省,中国,1667,1999
196,内蒙古自治区,中国,1379,1999
197,云南省,中国,1899,1999
198,天津市,中国,1500,1999
199,广西壮族自治区,中国,1971,1999
200,重庆市,中国,1663,1999
201,江西省,中国,1853,1999
202,陕西省,中国,1592,1999
203,辽宁省,中国,4171,1999
204,安徽省,中国,2712,1999
205,北京市,中国,2678,1999
206,上海市,中国,4188,1999
207,福建省,中国,3414,1999
208,河北省,中国,4514,1999
209,湖南省,中国,3214,1999
210,湖北省,中国,3229,1999
211,四川省,中国,3649,1999
212,河南省,中国,4517,1999
213,浙江省,中国,5443,1999
214,山东省,中国,7493,1999
215,江苏省,中国,7697,1999
216,广东省,中国,9250,1999
217,西藏自治区,中国,117,2000
218,青海省,中国,263,2000
219,宁夏回族自治区,中国,295,2000
220,海南省,中国,526,2000
221,甘肃省,中国,1052,2000
222,新疆维吾尔自治区,中国,1363,2000
223,贵州省,中国,1029,2000
224,吉林省,中国,1951,2000
225,黑龙江省,中国,3151,2000
226,山西省,中国,1845,2000
227,内蒙古自治区,中国,1539,2000
228,云南省,中国,2011,2000
229,天津市,中国,1701,2000
230,广西壮族自治区,中国,2080,2000
231,重庆市,中国,1791,2000
232,江西省,中国,2003,2000
233,陕西省,中国,1804,2000
234,辽宁省,中国,4669,2000
235,安徽省,中国,2902,2000
236,北京市,中国,3161,2000
237,上海市,中国,4771,2000
238,福建省,中国,3764,2000
239,河北省,中国,5043,2000
240,湖南省,中国,3551,2000
241,湖北省,中国,3545,2000
242,四川省,中国,3928,2000
243,河南省,中国,5052,2000
244,浙江省,中国,6141,2000
245,山东省,中国,8337,2000
246,江苏省,中国,8553,2000
247,广东省,中国,10741,2000
248,西藏自治区,中国,139,2001
249,青海省,中国,300,2001
250,宁夏回族自治区,中国,337,2001
251,海南省,中国,579,2001
252,甘肃省,中国,1125,2001
253,新疆维吾尔自治区,中国,1491,2001
254,贵州省,中国,1133,2001
255,吉林省,中国,2120,2001
256,黑龙江省,中国,3390,2001
257,山西省,中国,2029,2001
258,内蒙古自治区,中国,1713,2001
259,云南省,中国,2138,2001
260,天津市,中国,1919,2001
261,广西壮族自治区,中国,2279,2001
262,重庆市,中国,1976,2001
263,江西省,中国,2175,2001
264,陕西省,中国,2010,2001
265,辽宁省,中国,5033,2001
266,安徽省,中国,3246,2001
267,北京市,中国,3707,2001
268,上海市,中国,5210,2001
269,福建省,中国,4072,2001
270,河北省,中国,5516,2001
271,湖南省,中国,3831,2001
272,湖北省,中国,3880,2001
273,四川省,中国,4293,2001
274,河南省,中国,5533,2001
275,浙江省,中国,6898,2001
276,山东省,中国,9195,2001
277,江苏省,中国,9456,2001
278,广东省,中国,12039,2001
279,西藏自治区,中国,162,2002
280,青海省,中国,340,2002
281,宁夏回族自治区,中国,377,2002
282,海南省,中国,642,2002
283,甘肃省,中国,1232,2002
284,新疆维吾尔自治区,中国,1612,2002
285,贵州省,中国,1243,2002
286,吉林省,中国,2348,2002
287,黑龙江省,中国,3637,2002
288,山西省,中国,2324,2002
289,内蒙古自治区,中国,1940,2002
290,云南省,中国,2312,2002
291,天津市,中国,2150,2002
292,广西壮族自治区,中国,2523,2002
293,重庆市,中国,2232,2002
294,江西省,中国,2450,2002
295,陕西省,中国,2253,2002
296,辽宁省,中国,5458,2002
297,安徽省,中国,3519,2002
298,北京市,中国,4315,2002
299,上海市,中国,5741,2002
300,福建省,中国,4467,2002
301,河北省,中国,6018,2002
302,湖南省,中国,4151,2002
303,湖北省,中国,4212,2002
304,四川省,中国,4725,2002
305,河南省,中国,6035,2002
306,浙江省,中国,8003,2002
307,山东省,中国,10275,2002
308,江苏省,中国,10606,2002
309,广东省,中国,13502,2002
310,西藏自治区,中国,185,2003
311,青海省,中国,390,2003
312,宁夏回族自治区,中国,445,2003
313,海南省,中国,713,2003
314,甘肃省,中国,1399,2003
315,新疆维吾尔自治区,中国,1886,2003
316,贵州省,中国,1426,2003
317,吉林省,中国,2662,2003
318,黑龙江省,中国,4057,2003
319,山西省,中国,2855,2003
320,内蒙古自治区,中国,2388,2003
321,云南省,中国,2556,2003
322,天津市,中国,2578,2003
323,广西壮族自治区,中国,2821,2003
324,重庆市,中国,2555,2003
325,江西省,中国,2807,2003
326,陕西省,中国,2587,2003
327,辽宁省,中国,6002,2003
328,安徽省,中国,3923,2003
329,北京市,中国,5007,2003
330,上海市,中国,6694,2003
331,福建省,中国,4983,2003
332,河北省,中国,6921,2003
333,湖南省,中国,4659,2003
334,湖北省,中国,4757,2003
335,四川省,中国,5333,2003
336,河南省,中国,6867,2003
337,浙江省,中国,9705,2003
338,山东省,中国,12078,2003
339,江苏省,中国,12442,2003
340,广东省,中国,15844,2003
341,西藏自治区,中国,220,2004
342,青海省,中国,466,2004
343,宁夏回族自治区,中国,537,2004
344,海南省,中国,819,2004
345,甘肃省,中国,1688,2004
346,新疆维吾尔自治区,中国,2209,2004
347,贵州省,中国,1677,2004
348,吉林省,中国,3122,2004
349,黑龙江省,中国,4750,2004
350,山西省,中国,3571,2004
351,内蒙古自治区,中国,3041,2004
352,云南省,中国,3081,2004
353,天津市,中国,3110,2004
354,广西壮族自治区,中国,3433,2004
355,重庆市,中国,3034,2004
356,江西省,中国,3456,2004
357,陕西省,中国,3175,2004
358,辽宁省,中国,6672,2004
359,安徽省,中国,4759,2004
360,北京市,中国,6033,2004
361,上海市,中国,8072,2004
362,福建省,中国,5763,2004
363,河北省,中国,8477,2004
364,湖南省,中国,5641,2004
365,湖北省,中国,5633,2004
366,四川省,中国,6379,2004
367,河南省,中国,8553,2004
368,浙江省,中国,11648,2004
369,山东省,中国,15021,2004
370,江苏省,中国,15003,2004
371,广东省,中国,18864,2004
372,西藏自治区,中国,248,2005
373,青海省,中国,543,2005
374,宁夏回族自治区,中国,612,2005
375,海南省,中国,918,2005
376,甘肃省,中国,1933,2005
377,新疆维吾尔自治区,中国,2604,2005
378,贵州省,中国,2005,2005
379,吉林省,中国,3620,2005
380,黑龙江省,中国,5513,2005
381,山西省,中国,4230,2005
382,内蒙古自治区,中国,3905,2005
383,云南省,中国,3462,2005
384,天津市,中国,3905,2005
385,广西壮族自治区,中国,3984,2005
386,重庆市,中国,3467,2005
387,江西省,中国,4056,2005
388,陕西省,中国,3933,2005
