地区,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
西藏自治区,37.42,45.99,56.11,64.98,77.24,91.5,105.98,117.8,139.16,162.04,185.09,220.34,248.8,290.76,341.43,394.85,441.36,507.46,605.83,701.03,815.67,920.83,1026.39,1151.41,1310.92,1477.63
青海省,109.68,138.4,167.8,184.17,202.79,220.92,239.38,263.68,300.13,340.65,390.2,466.1,543.32,648.5,797.35,1018.62,1081.27,1350.43,1670.44,1893.54,2122.06,2303.32,2417.05,2572.49,2624.83,2865.23
宁夏回族自治区,104.49,136.26,175.19,202.9,224.59,245.44,264.58,295.02,337.44,377.16,445.36,537.11,612.61,725.9,919.11,1203.92,1353.31,1689.65,2102.21,2341.29,2577.57,2752.1,2911.77,3168.59,3443.56,3705.18
海南省,260.41,331.98,363.25,389.68,411.16,442.13,476.67,526.82,579.17,642.73,713.96,819.66,918.75,1065.67,1254.17,1503.06,1654.21,2064.5,2522.66,2855.54,3177.56,3500.72,3702.76,4053.2,4462.54,4832.05
甘肃省,372.24,453.61,557.76,722.52,793.57,887.67,956.32,1052.88,1125.37,1232.03,1399.83,1688.49,1933.98,2277.35,2703.98,3166.82,3387.56,4120.75,5020.37,5650.2,6330.69,6836.82,6790.32,7200.37,7459.9,8246.07
新疆维吾尔自治区,495.25,662.32,814.85,900.93,1039.85,1106.95,1163.17,1363.56,1491.6,1612.65,1886.35,2209.09,2604.19,3045.26,3523.16,4183.21,4277.05,5437.47,6610.05,7505.31,8443.84,9273.46,9324.8,9649.7,10881.96,12199.08
贵州省,417.69,524.46,636.21,723.18,805.79,858.39,937.5,1029.92,1133.27,1243.43,1426.34,1677.8,2005.42,2338.98,2884.11,3561.56,3912.68,4602.16,5701.84,6852.2,8086.86,9266.39,10502.56,11776.73,13540.83,14806.45
吉林省,718.58,937.73,1137.23,1346.79,1464.34,1577.05,1672.96,1951.51,2120.35,2348.54,2662.08,3122.01,3620.27,4275.12,5284.69,6426.1,7278.75,8667.58,10568.83,11939.24,13046.4,13803.14,14063.13,14776.8,14944.53,15074.62
黑龙江省,1198.3,1604.9,1991.4,2370.5,2667.5,2774.4,2866.3,3151.4,3390.1,3637.2,4057.4,4750.6,5513.7,6211.8,7104,8314.37,8587,10368.6,12582,13691.58,14454.91,15039.38,15083.67,15386.09,15902.68,16361.62
山西省,680.41,826.66,1076.03,1292.11,1476,1611.08,1667.1,1845.72,2029.53,2324.8,2855.23,3571.37,4230.53,4878.61,6024.45,7315.4,7358.31,9200.86,11237.55,12112.83,12665.25,12761.49,12766.49,13050.41,15528.42,16818.11
内蒙古自治区,537.81,695.06,857.06,1023.09,1153.51,1262.54,1379.31,1539.12,1713.81,1940.94,2388.38,3041.07,3905.03,4944.25,6423.18,8496.2,9740.25,11672,14359.88,15880.58,16916.5,17770.19,17831.51,18128.1,16096.21,17289.22
云南省,783.27,983.78,1222.15,1517.69,1676.17,1831.33,1899.82,2011.19,2138.31,2312.82,2556.02,3081.91,3462.73,3988.14,4772.52,5692.12,6169.75,7224.18,8893.12,10309.47,11832.31,12814.59,13619.17,14788.42,16376.34,17881.12
天津市,538.94,732.89,931.97,1121.93,1264.63,1374.6,1500.95,1701.88,1919.09,2150.76,2578.03,3110.97,3905.64,4462.74,5252.76,6719.01,7521.85,9224.46,11307.28,12893.88,14442.01,15726.93,16538.19,17885.39,18549.19,18809.64
广西壮族自治区,871.7,1198.29,1497.56,1697.9,1817.25,1911.3,1971.41,2080.04,2279.34,2523.73,2821.11,3433.5,3984.1,4746.16,5823.41,7021,7759.16,9569.85,11720.87,13035.1,14449.9,15672.89,16803.12,18317.64,18523.26,20352.51
重庆市,608.53,833.6,1123.06,1315.12,1509.75,1602.38,1663.2,1791,1976.86,2232.86,2555.72,3034.58,3467.72,3907.23,4676.13,5793.66,6530.01,7925.58,10011.37,11409.6,12783.26,14262.6,15717.27,17740.59,19424.73,20363.19
江西省,723.04,948.16,1169.73,1409.74,1605.77,1719.87,1853.65,2003.07,2175.68,2450.48,2807.41,3456.7,4056.76,4820.53,5800.25,6971.05,7655.18,9451.26,11702.82,12948.88,14410.19,15714.63,16723.78,18499,20006.31,21984.78
